Transaction Date	Transaction Type	Present Location	Editor	Barcode	Part Number	Editor	Sub Id	Generic	Supplier	Receiving Receipt #	Qty	On-Hand	Cost Price	Markup (%)	Retail Price
12/19/2025 15:19	General Inventory			12564	12564	Air Filter Mirage Fp-1500				12564	100	100	196.43		320.00
07/13/2026 10:38	General Inventory			13429	13429	Air Filter Montero New 1500A608 JGC				13429	100	100	350.00		450.00
06/26/2026 16:55	General Inventory				898140266	AIR FILTER MUX JGC 8-9140-266-0					100	100	0.00		480.00
12/19/2025 15:19	General Inventory			13585	13585	Air Filter Mux/Dmax 8-98140-266				13585	100	100	380.00		480.00
03/21/2026 10:59	General Inventory			13000	13000	Air Filter Navara Calibre 4KVOA JGC				13000	100	100	385.00		485.00
12/19/2025 15:19	General Inventory			5507	5507	Air Filter Osaka Ea-135				5507	100	100	84.82		154.00
12/19/2025 15:19	General Inventory			5508	5508	Air Filter Osaka Ea-143				5508	100	100	66.25		245.00
12/19/2025 15:29	General Inventory			5509	5509	Air Filter Osaka Ea-226				5509	100	100	0.00		170.00
06/26/2026 17:03	General Inventory				12986	AIR FILTER PICANTO 28113-07100					100	100	0.00		380.00
06/26/2026 17:25	General Inventory				1435848-	AIR FILTER RANGER MB3G9601BA MOTORCRAFT					100	100	0.00		780.00
12/26/2025 15:17	General Inventory			12632	12632	Air Filter Swift 13780-63J00				12632	100	100	0.00		400.00
07/23/2026 10:35	General Inventory				13574	AIR FILTER SWIFT FP-740					100	100	280.00		380.00
07/23/2026 10:34	General Inventory				0972413	AIR FILTER SWIFT NEW FP-745					100	100	380.00		480.00
06/17/2026 13:07	General Inventory				9332112F	AIR FILTER TAIL BLAZER					100	100	580.00		700.00
12/19/2025 15:29	General Inventory			14239	14239	Air Filter U201-13-Z40 Ranger				14239	100	100	550.00		660.00
07/07/2026 12:00	General Inventory				12463	AIR FILTER VIOS 03 17801- 21030					100	100	0.00		320.00
12/26/2025 14:52	General Inventory			12561	12561	Air Filter Vios 08 17801- 21050				12561	100	100	214.29		340.00
04/20/2026 07:26	General Inventory			12574	12574	Air Filter Vios 14 17801-04040				12574	100	100	250.00		500.00
06/26/2026 17:05	General Inventory				12563	AIR FILTER WIGO 17801-BZ100					100	100	0.00		425.00
12/19/2025 15:29	General Inventory			17801BZ140	17801BZ140	Air Filter Wigo 17801-Bz140				17801BZ140	100	100	315.00		425.00
12/19/2025 15:29	General Inventory			13560	13560	Air Filter Wigo Fp-Bz100				13560	100	100	315.00		415.00
04/24/2026 14:28	General Inventory				143600	AIR FILTER XPANDER 1500A687 JGC					100	100	0.00		390.00
